1,(2) Universidade de S\xc3\xa3o Paulo USP
3,Universidade Federal do Rio de Janeiro
5,Universidade Estadual Paulista J\xc3\xbalio de Mesquita Filho
7,Universidade Federal de Santa Catarina UFSC
9,Universidade Federal do Paran\xc3\xa1
11,Universidade Federal do Cear\xc3\xa1
13,Universidade Federal do Rio Grande do Norte
15,Universidade do Estado do Rio de Janeiro UERJ
17,Pontificia Universidade Cat\xc3\xb3lica do Rio de Janeiro PUC-RIO
19,Universidade Federal de S\xc3\xa3o Carlos
21,Pontificia Universidade Cat\xc3\xb3lica do Rio Grande do Sul PUCRS
23,Universidade Estadual de Maring\xc3\xa1
25,Universidade Federal da Para\xc3\xadba UFPB
27,Universidade Federal de Juiz de Fora UFJF
29,Universidade Federal do Esp\xc3\xadrito Santo
31,Universidade Federal do Amazonas UFAM
33,Universidade Federal do ABC UFABC
35,Pontificia Universidade Cat\xc3\xb3lica do Paran\xc3\xa1 PUCPR
37,Universidade Federal de Lavras UFLA
39,Universidade Federal do Rio Grande FURG
41,Universidade do Vale do Rio dos Sinos UNISINOS
43,Universidade Federal de Sergipe UFS
45,Universidade Federal do Maranh\xc3\xa3o
47,Universidade Estadual do Oeste do Paran\xc3\xa1 UNIOSTE
49,Universidade Presbiteriana Mackenzie
51,Universidade Estadual de Montes Claros UNIMONTES
53,Pontificia Universidade Cat\xc3\xb3lica do Minas Gerais PUC MINAS
55,Universidade Cat\xc3\xb3lica de Brasilia
57,Universidade Federal de Itajub\xc3\xa1 UNIFEI
59,Universidade de Passo Fundo
61,Pontificia Universidade Cat\xc3\xb3lica de S\xc3\xa3o Paulo PUC-SP
63,Universidade Estadual do Centro Oeste UNICENTRO
65,Universidade Paulista UNIP
67,Universidade Estadual de Santa Cruz UESC
69,Universidade de Pernambuco
71,Universidade Federal de Alfenas UNIFAL-MG
73,Universidade Federal dos Vales do Jequitinhonha e Mucuri UFVJM
75,Universidade do Vale do Itaja\xc3\xad UNIVALI
77,Universidade Federal do Pampa UNIPAMPA
79,Universidade Luterana do Brasil ULBRA
81,Universidade Federal do Vale do S\xc3\xa3o Francisco UNIVASF
83,(1) Universidade do Extremo Sul Catarinense UNESC
85,Universidade Federal do Tocantins UFT
87,Universidade Estadual de Goi\xc3\xa1s UEG
89,Universidade Federal Rural do Semi-\xc3\x81rido UFERSA
91,Universidade Federal do Piau\xc3\xad UFPI
93,Universidade Federal de Rond\xc3\xb4nia
95,Universidade Guarulhos UNG
97,Universidade Cruzeiro do Sul
99,Universidade Estadual da Para\xc3\xadba UEPB
2,Universidade Estadual de Campinas UNICAMP
4,Universidade Federal do Rio Grande do Sul UFRGS
6,Universidade Federal de Minas Gerais UFMG
8,Universidade de Bras\xc3\xadlia UNB
10,Universidade Federal Fluminense
12,Universidade Federal da Bahia
14,Universidade Federal de Pernambuco
16,Universidade Federal de S\xc3\xa3o Paulo UNIFESP
18,Universidade Federal de Goi\xc3\xa1s UFG
20,Universidade Federal do Par\xc3\xa1 UFPA
22,Universidade Federal de Vi\xc3\xa7osa UFV
24,Universidade Estadual de Londrina
26,Universidade Federal de Pelotas UFPEL
28,Universidade Federal de Uberl\xc3\xa2ndia
30,Funda\xc3\xa7\xc3\xa3o Getulio Vargas FGV
32,Universidade Federal de Campina Grande
34,Universidade Federal de S\xc3\xa3o Jo\xc3\xa3o del Rei UFSJ
36,Universidade Estadual de Ponta Grossa UEPG
38,Universidade Tecnol\xc3\xb3gica Federal do Paran\xc3\xa1 UTFPR
40,Universidade Federal de Ouro Preto UFOP
42,Universidade do Estado de Santa Catarina UDESC
44,Universidade Federal de Mato Grosso
46,Universidade Federal de Mato Grosso do Sul
48,Universidade Estadual de Feira de Santana UEFS
50,Universidade Federal Rural do Rio de Janeiro UFRRJ
52,Universidade Federal Rural de Pernambuco UFRPE
54,Instituto Tecnol\xc3\xb3gico de Aeron\xc3\xa1utica ITA
56,Universidade de Caxias do Sul
58,Universidade Est\xc3\xa1cio de S\xc3\xa1
60,Universidade Estadual do Cear\xc3\xa1
62,Universidade Nove de Julho
64,Universidade do Sul de Santa Catarina UNISUL
66,Universidade Federal do Estado do Rio de Janeiro UNIRIO
68,Universidade Estadual do Norte Fluminense Darcy Ribeiro
70,Universidade de Fortaleza UNIFOR
72,Universidade de Santa Cruz do Sul UNISC
74,Universidade Federal da Grande Dourados UFGD
76,Universidade Salvador UNIFACS
78,Universidade Federal do Triangulo Mineiro UFTM
80,Universidade Federal Rural da Amaz\xc3\xb4nia
82,Universidade Regional de Blumenau FURB
84,Universidade do Estado da Bahia UNEB
86,Universidade Federal do Rec\xc3\xb4ncavo da Bahia UFRB
88,Centro Federal de Educac\xc3\xa3o Tecnol\xc3\xb3gica de Minas Gerais CEFET-MG
90,Universidade Federal de Ci\xc3\xaancias da Sa\xc3\xbade de Porto Alegre UFCSPA
92,Universidade do Vale do Para\xc3\xadba UNIVAP
94,Universidade do Estado do Amazonas UEA
96,Faculdade de Medicina de S\xc3\xa3o Jos\xc3\xa9 do Rio Preto FAMERP
98,Universidade Paranaense UNIPAR
100,Universidade Federal do Acre UFAC
