1,Cairo University
3,Mansoura University
5,Ain Shams University
7,Assiut University
9,University of Tanta
11,Helwan University
13,Suez Canal University
15,Kafrelsheikh University
17,Minia University
19,Beni Suef University
21,German University in Cairo
23,Zewail City of Science and Technology
25,Port Said University
27,Nile University
29,Pharos University in Alexandria
31,MISR University for Science & Technology
33,Military Technical College
35,Delta University for Science & Technology
37,MISR International University
39,October 6 University
41,Canadian International College
43,Al Azhar Al Sharif Islamic Research Academy
45,Heliopolis University (Sekem University)
47,Modern Sciences & Arts University
49,Sadat Academy for Management Sciences
51,Egyptian Russian University
53,El Shorouk Academy
55,Badr University in Cairo
57,Akhbar El Yom Academy
59,Alexandria Higher Institute for Technology
61,(3) Suez Canal University Faculty of Medicine
63,Science Valley Academy
2,Alexandria University
4,American University in Cairo
6,Benha University
8,Zagazig University
10,Al Azhar University
12,Arab Academy for Science & Technology and Maritime Transport
14,Minufiya University
16,Fayoum University
18,British University in Egypt
20,South Valley University
22,Aswan University
24,Egypt Japan University of Science & Technology
26,Sohag University
28,Damietta University
30,Damanhour University
32,Suez University
34,Higher Technological Institute
36,MTI University (Modern University for Technology and Information)
38,Future University
40,Sinai University
42,Egyptian E-Learning University
44,Ahram Canadian University
46,Alexandrie"
48,Nahda University
50,Arab Open University Egypt
52,Egypte"
54,Modern Academy for Engineering and Technology
56,University of Sadat City
58,Integrated Thebes Academy for Science
60,Higher Institute of Engineering
62,New Giza University
64,Egyptian Chinese University
