1,Princeton University
3,Harvard University
5,Pierre and Marie  Curie University - Paris 6
7,University of Oxford
9,University of Cambridge
11,University of Minnesota, Twin Cities
13,University of Warwick
15,Texas A&M University
17,Columbia University
19,University of Wisconsin - Madison
21,The University of Texas at Austin
23,King Fahd University of Petroleum & Minerals
25,Aix Marseille University
27,Kyoto University
29,University of Bonn
31,Moscow State University
33,The Hebrew University of Jerusalem
35,Pennsylvania State University - University Park
37,Lanzhou University
39,California Institute of Technology
41,University of Geneva
43,Peking University
45,The Imperial College of Science, Technology and Medicine
47,Yale University
49,The University of Tokyo
51,Autonomous University of Madrid
53,Carnegie Mellon University
55,Gyeongsang National University
57,KU Leuven
59,Norwegian University of Science and Technology - NTNU
61,Rice University
63,Sun Yat-sen University
65,The Ohio State University - Columbus
67,University College London
69,University of Hannover
71,University of North Carolina at Chapel Hill
73,University of Toronto
75,University of Zurich
77,Huazhong University of Science and Technology
79,Johns Hopkins University
81,North Carolina State University - Raleigh
83,RWTH Aachen University
85,Shanghai Normal University
87,Technical University of Berlin
89,The Hong Kong Polytechnic University
91,University of Bristol
93,University of California, Irvine
95,University of Milan
97,University of Santiago Compostela
99,University of Utah
2,Stanford University
4,University of California, Berkeley
6,King Abdulaziz University
8,University of California, Los Angeles
10,University of Paris-Sud (Paris 11)
12,Massachusetts Institute of Technology (MIT)
14,Swiss Federal Institute of Technology Zurich
16,University of Michigan-Ann Arbor
18,University of Washington
20,Duke University
22,City University of Hong Kong
24,New York University
26,Ecole Normale Superieure - Paris
28,Paris Dauphine University (Paris 9)
30,University of California, San Diego
32,University Paris Diderot - Paris 7
34,University of Chicago
36,University of Maryland, College Park
38,Georgia Institute of Technology
40,The Chinese University of Hong Kong
42,Shanghai Jiao Tong University
44,Rutgers, The State University of New Jersey - New Brunswick
46,University of Colorado at Boulder
48,Cornell University
50,Harbin Institute of Technology
52,Brown University
54,Ecole Polytechnique
56,s College London"
58,Northwestern University
60,Purdue University - West Lafayette
62,Southeast University
64,Tel Aviv University
66,The University of New South Wales
68,University of California, Davis
70,University of Illinois at Urbana-Champaign
72,University of Pennsylvania
74,University of Vienna
76,Fudan University
78,Humboldt University of Berlin
80,National Sun Yat-Sen University
82,Polytechnic University of Valencia
84,Sapienza University of Rome
86,Swiss Federal Institute of Technology Lausanne
88,Technion-Israel Institute of Technology
90,The University of Melbourne
92,University of British Columbia
94,University of Delaware
96,University of Pisa
98,University of Sao Paulo
100,Zhejiang University
