1,Ludwig Maximilians Universitat Munchen
3,Technische Universitat Munchen
5,Universitat Hamburg
7,Rheinische Friedrich Wilhelms Universitat Bonn
9,Technische Universitat Dresden
11,Universitat Freiburg
13,Georg-August-Universitat Gottingen
15,Universitat Tubingen
17,Johannes Gutenberg Universitat Mainz
19,Universitat Wurzburg
21,Christian Albrechts Universitat zu Kiel
23,Universitat Stuttgart
25,Friedrich Schiller Universitat Jena
27,Technische Universitat Darmstadt
29,Heinrich Heine Universitat Dusseldorf
31,Universitat Hannover
33,Justus Liebig Universitat Giessen
35,Universitat des Saarlandes
37,Universitat Bielefeld
39,Martin Luther Universitat Halle Wittenberg
41,Universitat Bayreuth
43,Technische Universitat Kaiserslautern
45,Medizinische Hochschule Hannover
47,Universitat Mannheim
49,Ernst Moritz Arndt Universitat Greifswald
51,Universitat Siegen
53,Bergische Universitat Wuppertal
55,Universitat Hohenheim
57,Universitat zu Lubeck
59,Universitat Osnabruck
61,Technische Universitat Hamburg Harburg
63,Jacobs University Bremen
65,Universitat Passau
67,International Max Planck Research School for Astronomy and Cosmic Physics at the University of Heidelberg
69,Bauhaus Universitat Weimar
71,Universitat Witten Herdecke
73,FernUniversitat in Hagen
75,Stiftung Tierarztliche Hochschule Hannover
77,Deutsche Sporthochschule Koln
79,Hochschule fur Angewandte Wissenschaften Hamburg
81,Universitat Erfurt
83,Europa Universitat Viadrina Frankfurt Oder
85,Katholische Universitat Eichstatt Ingolstadt
87,Universitat Koblenz Landau
89,Fachhochschule Munster
91,Hochschule Osnabruck
93,Hochschule Karlsruhe
95,Hochschule Reutlingen
97,Hochschule Fulda
99,Hochschule Mannheim
2,Ruprecht Karls Universitat Heidelberg
4,Rheinisch Westfalische Technische Hochschule Aachen
6,Karlsruhe Institute of Technology (Universitat Karlsruhe)
8,Freie Universitat Berlin
10,Humboldt Universitat zu Berlin
12,Technische Universitat Berlin
14,Universitat Munster
16,Universitat zu Koln
18,Universitat Leipzig
20,(1) Friedrich Alexander Universitat Erlangen Nurnberg FAU
22,Charite Universitatsmedizin Berlin
24,Universitat Duisburg Essen
26,Ruhr Universitat Bochum
28,Universitat Bremen
30,Universitat Ulm
32,Philipps Universitat Marburg
34,Universitat Regensburg
36,Universitat Potsdam
38,Universitat Konstanz
40,Technische Universitat Dortmund
42,Universitat Rostock
44,Carl Von Ossietzky Universitat Oldenburg
46,Technische Universitat Chemnitz
48,(1) Otto Von Guericke Universitat Magdeburg
50,(2) Universitat Trier
52,Technische Universitat Braunschweig
54,Universitat Kassel
56,Universitat Paderborn
58,Universitat Augsburg
60,Technische Universitat Ilmenau
62,Leuphana Universitat Luneburg
64,Universitatsmedizin Mainz
66,Technische Universitat Bergakademie Freiberg
68,Technische Universitat Clausthal
70,Universitat Otto Friedrich Universitat Bamberg
72,Hasso Plattner Institute
74,Brandenburgische Technische Universitat Cottbus
76,Universitat der Bundeswehr Munchen
78,Helmut Schmidt Universitat
80,Otto Beisheim Graduate School of Management
82,Technische Hochschule Koln / TH Koln University of Applied Sciences
84,Universitat Hildesheim
86,Hochschule Furtwangen
88,Hertie School of Governance
90,Hochschule fur Technik und Wirtschaft Berlin
92,Hochschule Darmstadt
94,Beuth Hochschule fur Technik Berlin
96,Hochschule fur Wirtschaft und Recht Berlin
98,Hochschule Augsburg
100,International Max Planck Research School for Astronomy and Astrophysics
