1,University of Oxford
3,University College London
5,University of Edinburgh
7,Utrecht University / Universiteit Utrecht
9,University of Copenhagen / K\xc3\xb8benhavns Universitet
11,\xc3\x89cole Polytechnique F\xc3\xa9d\xc3\xa9rale de Lausanne
13,Ludwig Maximilians Universit\xc3\xa4t M\xc3\xbcnchen
15,s College London"
17,Universit\xc3\xa4t Z\xc3\xbcrich
19,University of Groningen / Rijksuniversiteit Groningen
21,Ghent University / Universiteit Gent
23,University of Leeds
25,University of Glasgow
27,Uppsala University / Uppsala Universitet
29,Universit\xc3\xa4t Wien
31,University of Warwick
33,University of Nottingham
35,(2) Tel Aviv University
37,Queen Mary University of London
39,Newcastle University Newcastle upon Tyne
41,Rheinisch Westfalische Technische Hochschule Aachen
43,University of Sheffield
45,Rheinische Friedrich Wilhelms Universit\xc3\xa4t Bonn
47,Universit\xc3\xa4t Bern
49,Universit\xc3\xa0 degli Studi di Milano
51,Freie Universit\xc3\xa4t Berlin
53,Technical University of Denmark / Danmarks Tekniske Universitet
55,Humboldt Universit\xc3\xa4t zu Berlin
57,Charles University in Prague / Univerzita Karlova v Praze
59,University of Bergen / Universitetet i Bergen
61,Universit\xc3\xa4t Freiburg
63,Technische Universit\xc3\xa4t Berlin
65,Universidade do Porto
67,University of York
69,Stockholm University / Stockholms Universitet
71,University of Liverpool
73,Universit\xc3\xa4t M\xc3\xbcnster
75,Link\xc3\xb6ping University / Link\xc3\xb6pings Universitet
77,Radboud University / Radboud Universiteit Nijmegen
79,Cardiff University
81,University of Twente / Universiteit Twente
83,Johannes Gutenberg Universit\xc3\xa4t Mainz
85,Technische Universit\xc3\xa4t Wien
87,University of Southampton
89,Politecnico di Milano
91,Universit\xc3\xa4t Leipzig
93,University College Dublin
95,University of Saint Andrews
97,Universidade de Lisboa
99,Universit\xc3\xa4t Basel
2,University of Cambridge
4,Eidgen\xc3\xb6ssische Technische Hochschule ETH Z\xc3\xbcrich / Swiss Federal Institute of Technology Zurich
6,Imperial College London
8,University of Manchester
10,University of Amsterdam / Universiteit van Amsterdam
12,Catholic University of Leuven
14,University of Helsinki / Helsingin yliopisto
16,University of Oslo / Universitetet i Oslo
18,Aarhus University / Aarhus Universitet
20,Ruprecht Karls Universit\xc3\xa4t Heidelberg
22,Technische Universit\xc3\xa4t M\xc3\xbcnchen
24,Universit\xc3\xa0 degli Studi di Roma La Sapienza
26,Lund University / Lunds Universitet
28,Delft University of Technology TU Delft
30,Universit\xc3\xa0 di Bologna (Universit\xc3\xa0 degli Studi di Bologna)
32,VU University of Amsterdam / Vrije Universiteit Amsterdam
34,Bristol University
36,Universitat de Barcelona
38,Universit\xc3\xa0 degli Studi di Padova
40,Universit\xc3\xa9 de Geneve
42,Universit\xc3\xa4t Hamburg
44,Karlsruhe Institute of Technology (Universit\xc3\xa4t Karlsruhe)
46,Karolinska Institute / Karolinska Institutet
48,Wageningen University & Research Centre
50,Royal Institute of Technology / Kungliga Tekniska H\xc3\xb6gskolan
52,University of Exeter
54,Technische Universit\xc3\xa4t Dresden
56,London School of Economics and Political Science
58,(1) Universitat de Val\xc3\xa8ncia
60,Hebrew University of Jerusalem
62,University of Gothenburg / G\xc3\xb6teborgs Universitet
64,Georg-August-Universit\xc3\xa4t G\xc3\xb6ttingen
66,(1) Norwegian University of Science & Technology / Norges Teknisk-Naturvitenskapelige Universitet
68,Erasmus University of Rotterdam / Erasmus Universiteit Rotterdam
70,Eindhoven University of Technology / Technische Universiteit Eindhoven
72,Lomonosov Moscow State University / \xd0\x9c\xd0\xbe\xd1\x81\xd0\xba\xd0\xbe\xd0\xb2\xd1\x81\xd0\xba\xd0\xb8\xd0\xb9 \xd0\xb3\xd0\xbe\xd1\x81\xd1\x83\xd0\xb4\xd0\xb0\xd1\x80\xd1\x81\xd1\x82\xd0\xb2\xd0\xb5\xd0\xbd\xd0\xbd\xd1\x8b\xd0\xb9 \xd1\x83\xd0\xbd\xd0\xb8\xd0\xb2\xd0\xb5\xd1\x80\xd1\x81\xd0\xb8\xd1\x82\xd0\xb5\xd1\x82 \xd0\x9c \xd0\x92 \xd0\x9b\xd0\xbe\xd0\xbc\xd0\xbe\xd0\xbd\xd0\xbe\xd1\x81\xd0\xbe\xd0\xb2\xd0\xb0
74,Universit\xc3\xa4t Tubingen
76,Trinity College Dublin
78,Universit\xc3\xa4t zu K\xc3\xb6ln
80,Universit\xc3\xa0 di Pisa (Universit\xc3\xa0 degli Studi di Pisa)
82,Universit\xc3\xa0 degli Studi di Napoli Federico II
84,University of Leicester
86,Durham University
88,National and Kapodistrian University of Athens
90,Aalto University / Aalto-yliopisto
92,Universit\xc3\xa0 degli Studi di Torino
94,Universit\xc3\xa9 Libre de Bruxelles
96,Universit\xc3\xa0 degli Studi di Firenze
98,Universidad Aut\xc3\xb3noma de Madrid
100,Technion Israel Institute of Technology
