1,Chulalongkorn University
3,Chiang Mai University
5,Khon Kaen University
7,Prince of Songkla University
9,Thammasat University
11,Asian Institute of Technology Thailand
13,s University of Technology North Bangkok"
15,Srinakharinwirot University
17,Silpakorn University
19,National Institute of Development Administration
21,Bangkok University
23,Nakhon Pathom Rajabhat University
25,Suan Sunandha Rajabhat University
27,Assumption University of Thailand
29,Ramkhamhaeng University
31,University of the Thai Chamber of Commerce
33,Suan Dusit University
35,Buriram Rajabhat University
37,Rajamangala University of Technology Lanna
39,Pibulsongkram Rajabhat University
41,Rajamangala University of Technology Isan
43,Rajamangala University of Technology Phra Nakhon
45,Nakhon Ratchasima Rajabhat University
47,Sukhothai Thammathirat Open University
49,Chandrakasem Rajabhat University
51,Nakhon Phanom University
53,Siam University
55,Phetchaburi Rajabhat University
57,Phuket Rajabhat University
59,Suratthani Rajabhat University
61,Rajamangala University of Technology Suvarnabhumi
63,Kasem Bundit University
65,Rajamangala University of Technology Srivijaya
67,Phranakhon Si Ayutthaya Rajabhat University
69,Nakhon Si Thammarat Rajabhat University
71,Hatyai University
73,Bansomdejchaopraya Rajabhat University
75,Phetchaboon Rajabhat University
77,Rambhai Barni Rajabhat University
79,Rajamangala University of Technology Tawan-Ok
81,Thai Nichi Institute of Technology
83,South-East Asia University
85,Sakon Nakhon Rajabhat University
87,Kanchanaburi Rajabhat University
89,Rajapruk University (former Ratchaphruek College)
91,Rajanagarindra Rajabhat University
93,Panyapiwat Institute of Management
95,s University Thailand"
97,Kalasin University
99,Dhonburi Rajabhat University
2,Mahidol University
4,Kasetsart University
6,Suranaree University of Technology
8,s University of Technology Thonburi"
10,Naresuan University
12,s Institute of Technology Ladkrabang"
14,Burapha University
16,Mahasarakham University
18,Mae Fah Luang University
20,Ubon Ratchathani University
22,Walailak University
24,Rangsit University
26,Mahanakorn University of Technology
28,Thaksin University
30,Maejo University
32,Rajamangala University of Technology Thanyaburi
34,Sripatum University
36,Chiang Mai Rajabhat University
38,University of Phayao
40,Huachiew Chalermprakiet University
42,Payap University
44,Yala Rajabhat University
46,Dhurakijpundit University
48,Rajamangala University of Technology Krungtheb
50,Rajabhat Maha Sarakham University
52,Ubon Ratchathani Rajabhat University
54,Mahachulalongkornrajavidyalaya University
56,Vongchavalitkul University
58,Lampang Rajabhat University
60,SIU International (Shinawatra University)
62,Loei Rajabhat University
64,Rajamangala University of Technology Rattanakosin
66,Samut Sakhon Community College
68,Phranakhon Rajabhat University
70,Chiang Rai Rajabhat University
72,Phramongkutklao College of Medicine
74,Kamphaeng Phet Rajabhat University
76,Udon Thani Rajabhat University
78,Songkhla Rajabhat University
80,(3) Sasin Graduate Institute of Business Administration Chulalongkorn University
82,Sisaket Rajabhat University
84,Roi-Et Rajabhat University
86,Valaya Alongkorn Rajabhat University
88,Stamford International University Thailand
90,Mahamakut Buddhist University
92,Krirk University
94,Nakhon Sawan Rajabhat University
96,Ratchatani University
98,Eastern Asia University Thailand
100,Uttaradit Rajabhat University
